player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Lemuel Jeanpierre,5853,C,13,SEA,274,0,136,138,0,11,267,0,0,60.9,68.9,60.7,0,0,6,6,1,0
Jeff Cumberland,5861,TE,15,NYJ,418,0,78,340,21,0,0,0,5,70.2,48.8,61.9,0,3,8,11,1,0
David Nelson,5862,WR,12,NYJ,265,0,0,265,0,0,0,0,0,71.4,,69.1,0,0,0,0,1,0
LeGarrette Blount,5863,HB,16,NE,58,0,39,19,0,0,0,0,0,82.3,89.0,57.0,0,0,0,0,0,0
Alfonso Smith,5877,HB,14,ARZ,47,0,37,10,0,0,0,0,0,51.8,85.6,56.8,0,1,0,1,0,0
Stephen Williams,5880,WR,6,JAX,32,0,0,32,0,0,0,0,0,43.8,,42.9,0,0,0,0,0,0
Marlon Moore,5887,WR,14,MIA,54,0,0,54,0,0,0,0,0,57.0,,74.2,0,0,0,0,0,0
Phil Costa,5925,C,1,DAL,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Jeron Mastrud,5948,TE,16,OAK,382,0,76,306,2,0,0,0,1,59.9,81.8,65.7,1,0,2,3,4,0
Jeff Linkenbach,5964,T,9,IND,385,0,235,150,0,0,0,367,4,61.9,66.9,58.5,2,2,12,16,1,0
Jeff Byers,5976,G,5,CAR,35,0,15,20,0,8,5,23,0,74.7,83.4,69.5,0,0,0,0,0,0
Kyle Bosworth,5986,LB,5,DAL,11,0,0,11,0,0,0,0,0,66.5,,65.3,0,0,0,0,0,0
Chris Ivory,6007,HB,15,NYJ,72,0,42,30,0,0,0,0,0,73.7,55.0,55.1,1,0,5,6,0,0
Clint Gresham,6019,LS,1,SEA,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Steve Maneri,6028,TE,4,CHI,50,0,18,32,0,0,0,0,0,48.6,75.7,48.0,0,0,1,1,0,0
Mitch Unrein,6031,DI,5,DEN,7,0,2,5,0,0,0,0,0,39.2,10.6,48.3,0,0,1,1,0,0
